beta1,beta2,min_loss,final_loss,coupling_ratio_max,theoretical_regime,empirical_regime,stable_bound_b1,exist_bound_b1
0.05918367346938776,0.5685714285714285,0.0,0.0,2.825591403433634e+102,I_stable,I_stable,0.5685714285714285,0.654770001788624
0.05918367346938776,0.5881632653061224,0.0,0.0,3.1420718490407687e+102,I_stable,I_stable,0.5881632653061224,0.6716196936990277
0.05918367346938776,0.6077551020408163,0.0,0.0,3.23881355478581e+102,I_stable,I_stable,0.6077551020408163,0.6883296226168335
0.05918367346938776,0.6273469387755102,0.0,0.0,3.2551172773326457e+102,I_stable,I_stable,0.6273469387755102,0.7049053996971941
0.05918367346938776,0.6469387755102041,0.0,0.0,3.9674235898024317e+102,I_stable,I_stable,0.6469387755102041,0.7213522431638066
0.05918367346938776,0.666530612244898,0.0,0.0,4.363954908590821e+102,I_stable,I_stable,0.666530612244898,0.7376750168593522
0.05918367346938776,0.6861224489795918,0.0,0.0,5.770232316013284e+102,I_stable,I_stable,0.6861224489795918,0.753878263994344
0.05918367346938776,0.7057142857142857,0.0,0.0,6.207718678078353e+102,I_stable,I_stable,0.7057142857142857,0.7699662368122037
0.05918367346938776,0.7253061224489796,0.0,0.0,7.130557178255224e+102,I_stable,I_stable,0.7253061224489796,0.785942922764163
0.05918367346938776,0.7448979591836734,0.0,0.0,9.45142168739871e+102,I_stable,I_stable,0.7448979591836734,0.8018120676876266
0.05918367346938776,0.7644897959183673,0.0,0.0,9.95992071365349e+102,I_stable,I_stable,0.7644897959183673,0.8175771964006852
0.05918367346938776,0.7840816326530612,0.0,0.0,1.2556567761039873e+103,I_stable,I_stable,0.7840816326530612,0.8332416310595315
0.05918367346938776,0.8036734693877551,0.0,0.0,1.5172320787067407e+103,I_stable,I_stable,0.8036734693877551,0.8488085075715106
0.05918367346938776,0.823265306122449,0.0,0.0,2.0819543311155557e+103,I_stable,I_stable,0.823265306122449,0.8642807903120353
0.05918367346938776,0.8428571428571429,0.0,0.0,2.4893410870064868e+103,I_stable,I_stable,0.8428571428571429,0.8796612853567701
